,0,1
0,合龈间隙的距离(occluso gingival space)_离散,3.326237360298031e-05
1,近远中间隙的距离(mesio distal space distance)_离散,0.00011641830761043107
2,近远中间隙的距离(mesio distal space distance)_连续,-0.00019957424161788184
3,龈退缩(gingival recession)_离散,-6.652474720596061e-05
4,龈退缩(gingival recession)_连续,-0.00014968068121341138
5,覆盖(上颌牙切缘到下牙唇面的水平距离不大于3mm覆盖正常.大于3mm为深覆盖(overjet))_离散,0.0
6,牙体断面与牙龈相对位置(gingival position of fracture)_离散,-0.00014968068121341138
7,牙体断面与牙龈相对位置(gingival position of fracture)_连续,0.00013304949441192123
8,根分歧处透射影(furcation imaging)_离散,0.00013304949441192123
9,与合平面的关系(relationship with the occlusal plane)_离散,0.0001829430548163917
10,缺失(is missing),0.0008315593400745077
11,牙体缺损(tooth defect),6.652474720596061e-05
12,残冠(residual crown),3.326237360298031e-05
13,残根(residual root),4.989356040447046e-05
14,叩诊(percussion),0.0
15,牙体断面位置(position of fracture),-0.00013304949441192123
16,龋损(caries),1.6631186801490153e-05
17,充填体是否存在(filling existance),0.00023283661522086215
18,充填体材料种类(filling material),0.0
19,修复体种类(restoration classification),-0.0003159925492283129
20,修复体材料(restoration material),-8.315593400745077e-05
21,松动度(mobility),-0.000748403406067057
22,牙的位置(tooth position),0.00016631186801490153
23,牙相关影像-牙槽骨吸收情况(teeth related imaging),-0.00029936136242682276
24,根尖周影像(apical root imaging),-0.0002494678020223523
25,根充影像(root canal filling imaging),8.315593400745077e-05
26,修复体边缘(restoration margins),-0.00013304949441192123
27,探诊(exploration probing),4.989356040447046e-05
28,楔状缺损(wedge shaped defect),-6.652474720596061e-05
29,充填体边缘(filling margins),0.0003159925492283129
30,继发龋(secondary caries),0.00016631186801490153
31,悬突(overhang),0.000216205428419372
32,崩瓷(porcelain fracture),-0.00016631186801490153
33,牙龈红肿(gingival swollen),0.00014968068121341138
34,牙龈瘘管(gingival fistula),6.652474720596061e-05
35,覆合(上牙切缘盖过下切牙切三分之一以内为正常.超过此范围为深覆合(overbite)),0.000216205428419372
36,反合(下牙位于上牙唇侧的为前牙反合(crossbite)),-4.989356040447046e-05
37,对刃,-0.00019957424161788184
38,咬合紧(tight bite),4.989356040447046e-05
39,牙间隙(diastema),0.0
40,近中根牙槽骨牙槽骨吸收(absorption near mesial root),4.989356040447046e-05
41,远中根牙槽骨牙槽骨吸收(absorption near distal root),8.315593400745077e-05
42,桩核影像学(post imaging),-3.326237360298031e-05
43,根管影像(root canal imaging),-3.326237360298031e-05
44,根周膜影像(periodontal membrane imaging),-0.00026609898882384245
45,根长影像(length of root imaging),-1.6631186801490153e-05
46,阻生齿(impaction),9.978712080894092e-05
47,固位(retention of existed fixed restorations),-3.326237360298031e-05
48,缺牙部位剩余牙槽嵴情况(residual ridge conditions),-0.000216205428419372
49,松软牙槽嵴(soft flabby ridges),0.0001829430548163917
50,黏膜疼痛 增生 肿胀 溃疡(pain hyperemization swollen and ucler),0.0
51,骨突 骨尖(torus),-8.315593400745077e-05
52,旧义齿人工牙合面磨耗情况(artificial tooth wear),9.978712080894092e-05
53,0,9.978712080894092e-05
54,1,0.00013304949441192123
